,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10164,PPL,2020,2,33.4407424926757,26.2703704833984,1.0,-387478,0.0,1.9599627484562824e-05
10165,PRU,2012,8,38.6871910095214,41.0562362670898,1.0,-716232,0.0,1.916188990566408e-05
10166,PRU,2013,5,50.39574432373043,53.69982020060214,1.0,-3146481,0.0,8.418014351227125e-05
10167,PRU,2013,6,53.351707458496,58.1752052307128,1.0,-79871,0.0,2.136848547196014e-06
10168,PRU,2013,7,58.994155883789,59.1594543457031,1.0,-845235,0.0,2.2613215334759598e-05
10169,PRU,2013,9,59.0621471405029,60.71964073181145,1.0,-4574376,0.0,0.00012238171434642738
10170,PRU,2013,11,65.0842609405517,66.80203247070305,1.0,-30069973,0.0,0.0008044844295874541
10171,PRU,2014,3,67.7090988159179,64.4604568481445,1.0,-10063746,0.0,0.00026924291453880595
10172,PRU,2014,5,62.832330067952434,68.16994222005202,1.0,-1981,0.0,5.299596286724394e-08
10173,PRU,2014,8,67.3389511108398,69.0685577392578,1.0,-38172815,0.0,0.0010212658301664702
10174,PRU,2014,12,67.12864685058591,68.06386566162105,1.0,-2577264,0.0,6.8951477697727e-05
10175,PRU,2015,2,60.2951075236002,63.640931447346965,1.0,-5883200,0.0,0.00015739764372442095
10176,PRU,2015,5,67.17348734537757,70.18178304036452,1.0,-2868075,0.0,7.673175928356229e-05
10177,PRU,2015,6,70.9431762695312,70.7613754272461,1.0,-2469876,0.0,6.607845110292353e-05
10178,PRU,2015,11,68.59017181396479,68.3938903808593,1.0,-7868790,0.0,0.00021051961888149295
10179,PRU,2016,2,47.5025545756022,58.01876195271803,1.0,462944,1.0,1.2385486770331051e-05
10180,PRU,2016,9,66.8794975280761,69.21628952026364,1.0,-7544130,0.0,0.00020183375773095115
10181,PRU,2016,10,69.73237991333005,76.18126678466791,1.0,-13727778,0.0,0.000367261071306576
10182,PRU,2016,11,82.4525680541992,87.9577102661132,1.0,-81916896,0.0,0.0021915709547896648
